"geneNames"	"gene_soruce"	"SNP_NUM"	"nsSNP"
"YBR036C"	"gene from yeastGEM"	2790	"963"
"YBR161W"	"gene from yeastGEM"	3267	"246"
"YPL057C"	"gene from yeastGEM"	6351	"2466"
"YDR287W"	"gene from yeastGEM"	3810	"1629"
"YHR046C"	"gene from yeastGEM"	2353	"1207"
"YJL153C"	"gene from yeastGEM"	4210	"775"
"YFL017C"	"gene from yeastGEM"	4182	"1776"
"YJL071W"	"gene from yeastGEM"	5570	"1766"
"YMR062C"	"gene from yeastGEM"	4946	"236"
"YDR428C"	"gene from yeastGEM"	2373	"850"
"YDR402C"	"gene from yeastGEM"	5086	"3807"
"YGL067W"	"gene from yeastGEM"	3554	"1122"
"YEL041W"	"gene from yeastGEM"	9748	"5431"
"YJR049C"	"gene from yeastGEM"	2611	"1468"
"YPL188W"	"gene from yeastGEM"	2302	"1093"
"YDL042C"	"gene from yeastGEM"	3217	"1704"
"YDR191W"	"gene from yeastGEM"	3313	"2100"
"YOL068C"	"gene from yeastGEM"	2051	"677"
"YOR025W"	"gene from yeastGEM"	10292	"1706"
"YPL015C"	"gene from yeastGEM"	3716	"1221"
"YHR074W"	"gene from yeastGEM"	2932	"368"
"YDL085W"	"gene from yeastGEM"	3542	"628"
"YMR145C"	"gene from yeastGEM"	7551	"165"
"YML120C"	"gene from yeastGEM"	7552	"1100"
"YOR209C"	"gene from yeastGEM"	2665	"1289"
"YGL037C"	"gene from yeastGEM"	1521	"83"
"YLR285W"	"gene from yeastGEM"	3493	"2146"
"YLR328W"	"gene from yeastGEM"	3176	"734"
"YGR010W"	"gene from yeastGEM"	3547	"1254"
"YFR047C"	"gene from yeastGEM"	2507	"597"
"YEL042W"	"gene from yeastGEM"	2303	"182"
"YKL067W"	"gene from yeastGEM"	4926	"2910"
"YJL088W"	"gene from yeastGEM"	1066	"449"
"YKL184W"	"gene from yeastGEM"	13166	"2180"
"YLR438W"	"gene from yeastGEM"	3326	"388"
"YML106W"	"gene from yeastGEM"	975	"13"
"YMR271C"	"gene from yeastGEM"	1732	"788"
"YEL021W"	"gene from yeastGEM"	643	"127"
"YGR277C"	"gene from yeastGEM"	1404	"848"
"YDR531W"	"gene from yeastGEM"	4652	"3034"
"YIL145C"	"gene from yeastGEM"	4738	"363"
"YJR019C"	"gene from yeastGEM"	2383	"171"
"YFL022C"	"gene from yeastGEM"	4738	"777"
"YLR060W"	"gene from yeastGEM"	5013	"914"
"YPR047W"	"gene from yeastGEM"	2003	"374"
"YDR380W"	"gene from yeastGEM"	4904	"424"
"YGL234W"	"gene from yeastGEM"	2412	"341"
"YEL058W"	"gene from yeastGEM"	10649	"1999"
"YPR167C"	"gene from yeastGEM"	2103	"259"
"YKR097W"	"gene from yeastGEM"	8644	"262"
"YGR007W"	"gene from yeastGEM"	4135	"2074"
"YMR205C"	"gene from yeastGEM"	7252	"2964"
"YGR240C"	"gene from yeastGEM"	12946	"682"
"YMR105C"	"gene from yeastGEM"	3829	"544"
"YKL127W"	"gene from yeastGEM"	7256	"2318"
"YMR278W"	"gene from yeastGEM"	3909	"1047"
"YGR256W"	"gene from yeastGEM"	7303	"1464"
"YHR183W"	"gene from yeastGEM"	1463	"167"
"YER081W"	"gene from yeastGEM"	1335	"170"
"YIL074C"	"gene from yeastGEM"	1599	"1074"
"YCR012W"	"gene from yeastGEM"	670	"91"
"YFL045C"	"gene from yeastGEM"	3445	"75"
"YMR220W"	"gene from yeastGEM"	5649	"3856"
"YIL083C"	"gene from yeastGEM"	2692	"126"
"YKL088W"	"gene from yeastGEM"	5368	"1609"
"YKR072C"	"gene from yeastGEM"	7074	"2253"
"YOR054C"	"gene from yeastGEM"	7129	"1119"
"YAR015W"	"gene from yeastGEM"	5436	"102"
"YOR128C"	"gene from yeastGEM"	5026	"1251"
"YDR007W"	"gene from yeastGEM"	1612	"638"
"YMR300C"	"gene from yeastGEM"	2547	"67"
"YKL181W"	"gene from yeastGEM"	2642	"294"
"YER099C"	"gene from yeastGEM"	744	"67"
"YHL011C"	"gene from yeastGEM"	1635	"33"
"YBL068W"	"gene from yeastGEM"	1133	"113"
"YOL061W"	"gene from yeastGEM"	5177	"125"
"YOL068W"	"gene from yeastGEM"	0	"NA"
"YGR208W"	"gene from yeastGEM"	3645	"780"
"YOR184W"	"gene from yeastGEM"	4403	"1055"
"YBR183W"	"gene from yeastGEM"	3983	"186"
"YDR294C"	"gene from yeastGEM"	6245	"1613"
"YMR020W"	"gene from yeastGEM"	3277	"1688"
"YGL040C"	"gene from yeastGEM"	849	"97"
"YNL316C"	"gene from yeastGEM"	7992	"5812"
"YBR166C"	"gene from yeastGEM"	8488	"5057"
"YLR142W"	"gene from yeastGEM"	2203	"1080"
"YHR020W"	"gene from yeastGEM"	6970	"1230"
"YER014W"	"gene from yeastGEM"	4569	"2723"
"YDR400W"	"gene from yeastGEM"	5989	"2679"
"YLR209C"	"gene from yeastGEM"	430	"123"
"YBR035C"	"gene from yeastGEM"	950	"22"
"YBR218C"	"gene from yeastGEM"	12546	"1112"
"YGL062W"	"gene from yeastGEM"	9311	"2378"
"YBR221C"	"gene from yeastGEM"	2017	"944"
"YER178W"	"gene from yeastGEM"	4032	"106"
"YGR193C"	"gene from yeastGEM"	5876	"2825"
"YNL071W"	"gene from yeastGEM"	3611	"1761"
"YAL038W"	"gene from yeastGEM"	820	"133"
"YOR347C"	"gene from yeastGEM"	3585	"1490"
"YDR236C"	"gene from yeastGEM"	1356	"534"
"YOL143C"	"gene from yeastGEM"	3990	"1356"
"YBR256C"	"gene from yeastGEM"	2956	"975"
"YER070W"	"gene from yeastGEM"	4571	"1118"
"YGR180C"	"gene from yeastGEM"	1459	"625"
"YIL066C"	"gene from yeastGEM"	5033	"1056"
"YJL026W"	"gene from yeastGEM"	4814	"1133"
"YOR095C"	"gene from yeastGEM"	3350	"122"
"YNL129W"	"gene from yeastGEM"	1349	"551"
"YJL121C"	"gene from yeastGEM"	1114	"115"
"YML008C"	"gene from yeastGEM"	3554	"502"
"YJL068C"	"gene from yeastGEM"	4065	"1209"
"YIR034C"	"gene from yeastGEM"	7706	"450"
"YNR050C"	"gene from yeastGEM"	2084	"170"
"YDL040C"	"gene from yeastGEM"	5434	"1413"
"YGR147C"	"gene from yeastGEM"	4982	"2330"
"YHR013C"	"gene from yeastGEM"	2512	"651"
"YBR058C-A"	"gene from yeastGEM"	734	"80"
"YDR062W"	"gene from yeastGEM"	2919	"780"
"YMR296C"	"gene from yeastGEM"	5426	"164"
"YDR023W"	"gene from yeastGEM"	932	"93"
"YHR011W"	"gene from yeastGEM"	4866	"860"
"YBR213W"	"gene from yeastGEM"	5690	"2508"
"YPR069C"	"gene from yeastGEM"	1228	"130"
"YLR146C"	"gene from yeastGEM"	1928	"582"
"YJL134W"	"gene from yeastGEM"	2844	"619"
"YKR053C"	"gene from yeastGEM"	1911	"1196"
"YLR260W"	"gene from yeastGEM"	4933	"745"
"YOR171C"	"gene from yeastGEM"	5266	"1811"
"YGR175C"	"gene from yeastGEM"	3160	"255"
"YHR190W"	"gene from yeastGEM"	3772	"1159"
"YDR178W"	"gene from yeastGEM"	1322	"55"
"YJL045W"	"gene from yeastGEM"	5997	"572"
"YKL141W"	"gene from yeastGEM"	7846	"1356"
"YLL041C"	"gene from yeastGEM"	1063	"247"
"YKL148C"	"gene from yeastGEM"	3105	"436"
"YBR006W"	"gene from yeastGEM"	8488	"150"
"YIL162W"	"gene from yeastGEM"	12217	"3010"
"YJR010W"	"gene from yeastGEM"	3468	"61"
"YFR030W"	"gene from yeastGEM"	7401	"2044"
"YJR137C"	"gene from yeastGEM"	7539	"2024"
"YLL057C"	"gene from yeastGEM"	3980	"750"
"YKL132C"	"gene from yeastGEM"	9399	"5241"
"YOR241W"	"gene from yeastGEM"	3583	"1514"
"YOR143C"	"gene from yeastGEM"	8587	"1361"
"YIL010W"	"gene from yeastGEM"	6110	"3633"
"YDR353W"	"gene from yeastGEM"	2033	"73"
"YHR106W"	"gene from yeastGEM"	990	"380"
"YIL078W"	"gene from yeastGEM"	7812	"1962"
"YKL194C"	"gene from yeastGEM"	8125	"2407"
"YOR074C"	"gene from yeastGEM"	3877	"378"
"YBR003W"	"gene from yeastGEM"	5588	"668"
"YLR354C"	"gene from yeastGEM"	1145	"130"
"YBR117C"	"gene from yeastGEM"	6173	"297"
"YPR074C"	"gene from yeastGEM"	4482	"199"
"YDR050C"	"gene from yeastGEM"	692	"5"
"YGL026C"	"gene from yeastGEM"	3201	"1470"
"YOL097C"	"gene from yeastGEM"	2769	"197"
"YDR268W"	"gene from yeastGEM"	2297	"1052"
"YGR185C"	"gene from yeastGEM"	2067	"762"
"YPL097W"	"gene from yeastGEM"	2165	"772"
"YLR189C"	"gene from yeastGEM"	15889	"2913"
"YDL103C"	"gene from yeastGEM"	9852	"1453"
"YBR019C"	"gene from yeastGEM"	2813	"1109"
"YKL024C"	"gene from yeastGEM"	3760	"1918"
"YHR128W"	"gene from yeastGEM"	313	"53"
"YIR032C"	"gene from yeastGEM"	4179	"1592"
"YDR047W"	"gene from yeastGEM"	1146	"341"
"YKR069W"	"gene from yeastGEM"	9371	"2725"
"YOR278W"	"gene from yeastGEM"	1663	"1329"
"YKL035W"	"gene from yeastGEM"	2154	"168"
"YGR094W"	"gene from yeastGEM"	6196	"954"
"YJR133W"	"gene from yeastGEM"	2006	"217"
"YLR070C"	"gene from yeastGEM"	4605	"2853"
"YGR194C"	"gene from yeastGEM"	5320	"2029"
"YFL001W"	"gene from yeastGEM"	6040	"2902"
"YGL063W"	"gene from yeastGEM"	3003	"1989"
"YNL292W"	"gene from yeastGEM"	1763	"394"
"YPL212C"	"gene from yeastGEM"	3756	"1461"
"YEL029C"	"gene from yeastGEM"	2738	"862"
"YKR043C"	"gene from yeastGEM"	3451	"749"
"YDL066W"	"gene from yeastGEM"	2737	"98"
"YKL182W"	"gene from yeastGEM"	16189	"1799"
"YPL231W"	"gene from yeastGEM"	22732	"3112"
"YER061C"	"gene from yeastGEM"	2447	"1234"
"YKL055C"	"gene from yeastGEM"	4702	"2564"
"YHR067W"	"gene from yeastGEM"	2085	"873"
"YBR026C"	"gene from yeastGEM"	3772	"978"
"YJL196C"	"gene from yeastGEM"	2416	"1199"
"YBR159W"	"gene from yeastGEM"	7662	"3052"
"YJL097W"	"gene from yeastGEM"	847	"73"
"YDL015C"	"gene from yeastGEM"	2983	"1077"
"YGL055W"	"gene from yeastGEM"	4575	"1447"
"YOR317W"	"gene from yeastGEM"	2393	"815"
"YMR246W"	"gene from yeastGEM"	6809	"2970"
"YIL009W"	"gene from yeastGEM"	10060	"2573"
"YBR041W"	"gene from yeastGEM"	4590	"648"
"YLR284C"	"gene from yeastGEM"	8422	"1138"
"YOR180C"	"gene from yeastGEM"	1910	"340"
"YNL202W"	"gene from yeastGEM"	2748	"168"
"YBL011W"	"gene from yeastGEM"	11784	"2193"
"YKR067W"	"gene from yeastGEM"	12532	"2689"
"YIL124W"	"gene from yeastGEM"	2729	"785"
"YOR175C"	"gene from yeastGEM"	3396	"804"
"YDL052C"	"gene from yeastGEM"	2891	"1055"
"YKR089C"	"gene from yeastGEM"	7292	"742"
"YOR081C"	"gene from yeastGEM"	11276	"429"
"YMR165C"	"gene from yeastGEM"	12982	"3741"
"YDR284C"	"gene from yeastGEM"	2432	"738"
"YDR503C"	"gene from yeastGEM"	5480	"1631"
"YOR245C"	"gene from yeastGEM"	3515	"1191"
"YBR029C"	"gene from yeastGEM"	2388	"122"
"YER026C"	"gene from yeastGEM"	5982	"1466"
"YPR113W"	"gene from yeastGEM"	1553	"302"
"YBR042C"	"gene from yeastGEM"	11130	"2246"
"YNL169C"	"gene from yeastGEM"	2685	"707"
"YGR170W"	"gene from yeastGEM"	9789	"3657"
"YGR157W"	"gene from yeastGEM"	18128	"4163"
"YJR073C"	"gene from yeastGEM"	2208	"102"
"YOR311C"	"gene from yeastGEM"	1925	"1171"
"YHR123W"	"gene from yeastGEM"	1648	"526"
"YNL130C"	"gene from yeastGEM"	2323	"1071"
"YCL004W"	"gene from yeastGEM"	2305	"670"
"YHR100C"	"gene from yeastGEM"	1964	"476"
"YDL142C"	"gene from yeastGEM"	2812	"888"
"YGR110W"	"gene from yeastGEM"	2745	"932"
"YPR140W"	"gene from yeastGEM"	1414	"360"
"YJL100W"	"gene from yeastGEM"	7304	"2636"
"YLR305C"	"gene from yeastGEM"	23928	"5715"
"YDR373W"	"gene from yeastGEM"	611	"45"
"YNL267W"	"gene from yeastGEM"	10640	"3162"
"YBR097W"	"gene from yeastGEM"	15439	"4379"
"YLR240W"	"gene from yeastGEM"	10017	"365"
"YDR208W"	"gene from yeastGEM"	7637	"3603"
"YFR019W"	"gene from yeastGEM"	30373	"7552"
"YNR008W"	"gene from yeastGEM"	2572	"596"
"YML059C"	"gene from yeastGEM"	8078	"1751"
"YMR008C"	"gene from yeastGEM"	6058	"1450"
"YMR006C"	"gene from yeastGEM"	7471	"1732"
"YOL011W"	"gene from yeastGEM"	5954	"1044"
"YPL268W"	"gene from yeastGEM"	16792	"6309"
"YPL206C"	"gene from yeastGEM"	5044	"520"
"YKR031C"	"gene from yeastGEM"	29122	"7990"
"YNL106C"	"gene from yeastGEM"	10656	"3236"
"YOR109W"	"gene from yeastGEM"	21086	"3402"
"YJR110W"	"gene from yeastGEM"	4249	"1314"
"YKL212W"	"gene from yeastGEM"	3756	"549"
"YIL002C"	"gene from yeastGEM"	3726	"1226"
"YOL065C"	"gene from yeastGEM"	11313	"6079"
"YLR386W"	"gene from yeastGEM"	11424	"1482"
"YNL325C"	"gene from yeastGEM"	10695	"2107"
"YKL140W"	"gene from yeastGEM"	3857	"1726"
"YLL012W"	"gene from yeastGEM"	7933	"3059"
"YLR020C"	"gene from yeastGEM"	4406	"814"
"YBR204C"	"gene from yeastGEM"	9824	"4476"
"YMR313C"	"gene from yeastGEM"	2686	"1204"
"YDR058C"	"gene from yeastGEM"	3155	"557"
"YKL094W"	"gene from yeastGEM"	4845	"1837"
"YDR135C"	"gene from yeastGEM"	13188	"2809"
"YLL048C"	"gene from yeastGEM"	9751	"2668"
"YBR127C"	"gene from yeastGEM"	1418	"41"
"YDL185W"	"gene from yeastGEM"	15996	"1948"
"YEL027W"	"gene from yeastGEM"	75	"0"
"YEL051W"	"gene from yeastGEM"	256	"81"
"YGR020C"	"gene from yeastGEM"	964	"2"
"YHR026W"	"gene from yeastGEM"	910	"43"
"YHR039C-A"	"gene from yeastGEM"	1539	"45"
"YKL080W"	"gene from yeastGEM"	2023	"81"
"YLR447C"	"gene from yeastGEM"	7183	"206"
"YMR054W"	"gene from yeastGEM"	4762	"1366"
"YOR332W"	"gene from yeastGEM"	708	"17"
"YPL234C"	"gene from yeastGEM"	1924	"18"
"YPR036W"	"gene from yeastGEM"	1852	"733"
"YOR270C"	"gene from yeastGEM"	9843	"270"
"YOR222W"	"gene from yeastGEM"	2061	"185"
"YPL134C"	"gene from yeastGEM"	633	"130"
"YDL210W"	"gene from yeastGEM"	6999	"893"
"YOR348C"	"gene from yeastGEM"	7228	"1103"
"YNR056C"	"gene from yeastGEM"	6188	"2606"
"YCR010C"	"gene from yeastGEM"	170	"34"
"YER056C"	"gene from yeastGEM"	6880	"3141"
"YER060W"	"gene from yeastGEM"	1380	"367"
"YER060W-A"	"gene from yeastGEM"	4894	"1714"
"YGL186C"	"gene from yeastGEM"	4765	"727"
"YAL022C"	"gene from yeastGEM"	4882	"681"
"YBL030C"	"gene from yeastGEM"	6244	"2061"
"YBR085W"	"gene from yeastGEM"	3278	"606"
"YMR056C"	"gene from yeastGEM"	3826	"544"
"YPR128C"	"gene from yeastGEM"	1423	"560"
"YMR241W"	"gene from yeastGEM"	1778	"32"
"YJR152W"	"gene from yeastGEM"	4258	"597"
"YIR028W"	"gene from yeastGEM"	11763	"1142"
"YDR384C"	"gene from yeastGEM"	1122	"63"
"YGR121C"	"gene from yeastGEM"	2408	"390"
"YNL142W"	"gene from yeastGEM"	7008	"3798"
"YPR138C"	"gene from yeastGEM"	1834	"348"
"YPR021C"	"gene from yeastGEM"	7313	"2010"
"YGR065C"	"gene from yeastGEM"	5582	"1207"
"YOR100C"	"gene from yeastGEM"	2377	"683"
"YGL077C"	"gene from yeastGEM"	2160	"557"
"YBR291C"	"gene from yeastGEM"	2192	"1082"
"YHR002W"	"gene from yeastGEM"	1263	"1077"
"YBR192W"	"gene from yeastGEM"	5067	"74"
"YDL245C"	"gene from yeastGEM"	0	"NA"
"YDR342C"	"gene from yeastGEM"	265	"33"
"YDR343C"	"gene from yeastGEM"	4	"3"
"YDR345C"	"gene from yeastGEM"	6091	"1282"
"YEL069C"	"gene from yeastGEM"	6312	"1636"
"YFL011W"	"gene from yeastGEM"	6194	"1525"
"YHR092C"	"gene from yeastGEM"	6813	"1180"
"YHR094C"	"gene from yeastGEM"	4282	"1738"
"YHR096C"	"gene from yeastGEM"	3622	"895"
"YJL214W"	"gene from yeastGEM"	17037	"5274"
"YJL219W"	"gene from yeastGEM"	298	"245"
"YJR158W"	"gene from yeastGEM"	0	"NA"
"YMR011W"	"gene from yeastGEM"	2651	"1378"
"YNR072W"	"gene from yeastGEM"	2772	"523"
"YOL156W"	"gene from yeastGEM"	875	"633"
"YDR536W"	"gene from yeastGEM"	4214	"1574"
"YLR081W"	"gene from yeastGEM"	8000	"2489"
"YNL318C"	"gene from yeastGEM"	7432	"2922"
"YKL217W"	"gene from yeastGEM"	5066	"1470"
"YIL013C"	"gene from yeastGEM"	8157	"857"
"YOR011W"	"gene from yeastGEM"	16247	"5085"
"YIL134W"	"gene from yeastGEM"	5197	"1649"
"YGL225W"	"gene from yeastGEM"	3661	"44"
"YDL247W"	"gene from yeastGEM"	0	"NA"
"YJR160C"	"gene from yeastGEM"	5	"5"
"YJL212C"	"gene from yeastGEM"	19762	"2395"
"YLL015W"	"gene from yeastGEM"	20803	"7498"
"YCR098C"	"gene from yeastGEM"	8896	"1187"
"YGL084C"	"gene from yeastGEM"	3655	"988"
"YPL189W"	"gene from yeastGEM"	5764	"3359"
"YLL043W"	"gene from yeastGEM"	6436	"1091"
"YCL025C"	"gene from yeastGEM"	6394	"2801"
"YKR039W"	"gene from yeastGEM"	8995	"3180"
"YOL020W"	"gene from yeastGEM"	3969	"1697"
"YPL265W"	"gene from yeastGEM"	4959	"1235"
"YDL198C"	"gene from yeastGEM"	2891	"83"
"YDR497C"	"gene from yeastGEM"	11877	"723"
"YOL103W"	"gene from yeastGEM"	5507	"289"
"YMR319C"	"gene from yeastGEM"	10058	"2275"
"YMR058W"	"gene from yeastGEM"	10408	"3966"
"YBR068C"	"gene from yeastGEM"	4339	"1620"
"YDR046C"	"gene from yeastGEM"	3401	"985"
"YEL063C"	"gene from yeastGEM"	4075	"1396"
"YNL270C"	"gene from yeastGEM"	6260	"2371"
"YBR293W"	"gene from yeastGEM"	4814	"1932"
"YDR508C"	"gene from yeastGEM"	19758	"7458"
"YJR001W"	"gene from yeastGEM"	2788	"272"
"YKL146W"	"gene from yeastGEM"	5967	"1471"
"YNL101W"	"gene from yeastGEM"	6053	"912"
"YER119C"	"gene from yeastGEM"	3102	"1763"
"YFL055W"	"gene from yeastGEM"	13843	"5972"
"YBR132C"	"gene from yeastGEM"	10313	"2863"
"YBR069C"	"gene from yeastGEM"	10251	"2505"
"YCR075C"	"gene from yeastGEM"	2008	"207"
"YCL069W"	"gene from yeastGEM"	20	"20"
"YMR088C"	"gene from yeastGEM"	10289	"1292"
"YGR191W"	"gene from yeastGEM"	11907	"1935"
"YCL038C"	"gene from yeastGEM"	2028	"192"
"YNL268W"	"gene from yeastGEM"	8509	"2377"
"YGR055W"	"gene from yeastGEM"	3100	"487"
"YHL036W"	"gene from yeastGEM"	2331	"414"
"YLR348C"	"gene from yeastGEM"	1392	"351"
"YBR298C"	"gene from yeastGEM"	6413	"2805"
"YGR289C"	"gene from yeastGEM"	11127	"8408"
"YBR180W"	"gene from yeastGEM"	13929	"6051"
"YEL006W"	"gene from yeastGEM"	1249	"140"
"YIL006W"	"gene from yeastGEM"	3572	"872"
"YGR260W"	"gene from yeastGEM"	4540	"1533"
"YOR130C"	"gene from yeastGEM"	1512	"266"
"BAC1"	"gene from yeastGEM"	0	"NA"
"YKL120W"	"gene from yeastGEM"	3544	"26"
"YCR028C"	"gene from yeastGEM"	2864	"393"
"YBR296C"	"gene from yeastGEM"	5828	"984"
"YCR037C"	"gene from yeastGEM"	5525	"1046"
"YJL198W"	"gene from yeastGEM"	17096	"3565"
"YML123C"	"gene from yeastGEM"	9946	"3038"
"YNR013C"	"gene from yeastGEM"	5144	"870"
"YER053C"	"gene from yeastGEM"	1211	"86"
"YJR077C"	"gene from yeastGEM"	2261	"350"
"YJL129C"	"gene from yeastGEM"	9692	"4833"
"YKL174C"	"gene from yeastGEM"	6645	"380"
"YLL028W"	"gene from yeastGEM"	7146	"3411"
"YOR273C"	"gene from yeastGEM"	7262	"3941"
"YPL274W"	"gene from yeastGEM"	7056	"1681"
"YNL003C"	"gene from yeastGEM"	639	"120"
"YLL061W"	"gene from yeastGEM"	10937	"1147"
"YLR138W"	"gene from yeastGEM"	5698	"867"
"YHL016C"	"gene from yeastGEM"	10688	"1012"
"YGR138C"	"gene from yeastGEM"	1921	"384"
"YPR156C"	"gene from yeastGEM"	4317	"300"
"YJR095W"	"gene from yeastGEM"	2203	"78"
"YBR294W"	"gene from yeastGEM"	4672	"1170"
"YLR092W"	"gene from yeastGEM"	12050	"3407"
"YPL092W"	"gene from yeastGEM"	4664	"3632"
"YGR096W"	"gene from yeastGEM"	1574	"560"
"YLR237W"	"gene from yeastGEM"	16593	"3980"
"YOR071C"	"gene from yeastGEM"	6101	"2312"
"YOR192C"	"gene from yeastGEM"	5008	"1661"
"YPL244C"	"gene from yeastGEM"	4457	"1280"
"YBR021W"	"gene from yeastGEM"	2717	"740"
"YBL042C"	"gene from yeastGEM"	8075	"3887"
"YLL052C"	"gene from yeastGEM"	2556	"586"
"YPR192W"	"gene from yeastGEM"	7745	"3999"
"YGL080W"	"gene from yeastGEM"	2336	"994"
"YGR243W"	"gene from yeastGEM"	479	"176"
"YHR162W"	"gene from yeastGEM"	726	"530"
"YKL188C"	"gene from yeastGEM"	10220	"3422"
"YPL147W"	"gene from yeastGEM"	10339	"4735"
"YDR072C"	"gene from yeastGEM"	10322	"3589"
"YDR367W"	"gene from yeastGEM"	967	"478"
"YKL004W"	"gene from yeastGEM"	1105	"159"
"YUBIC"	"gene from yeastGEM"	0	"NA"
"YDR071C"	"gene from yeastGEM"	656	"55"
"YAL026C"	"new metabolic gene"	6530	"2245"
"YAL035W"	"new metabolic gene"	9322	"4293"
"YAL039C"	"new metabolic gene"	2278	"632"
"YAL061W"	"new metabolic gene"	8764	"2675"
"YAR073W"	"new metabolic gene"	0	"NA"
"YBL035C"	"new metabolic gene"	12225	"3552"
"YBL057C"	"new metabolic gene"	600	"220"
"YBL080C"	"new metabolic gene"	9029	"4208"
"YBL082C"	"new metabolic gene"	2618	"567"
"YBL091C"	"new metabolic gene"	1185	"45"
"YBR001C"	"new metabolic gene"	10685	"5819"
"YBR022W"	"new metabolic gene"	1350	"756"
"YBR046C"	"new metabolic gene"	4009	"1768"
"YBR070C"	"new metabolic gene"	4606	"1880"
"YBR111C"	"new metabolic gene"	4117	"1446"
"YBR147W"	"new metabolic gene"	9920	"2043"
"YBR154C"	"new metabolic gene"	2004	"49"
"YBR177C"	"new metabolic gene"	5250	"2886"
"YBR222C"	"new metabolic gene"	5398	"215"
"YBR229C"	"new metabolic gene"	15806	"7134"
"YBR235W"	"new metabolic gene"	14457	"1309"
"YBR241C"	"new metabolic gene"	3311	"1192"
"YBR243C"	"new metabolic gene"	2035	"275"
"YBR278W"	"new metabolic gene"	1452	"341"
"YBR281C"	"new metabolic gene"	4546	"1484"
"YBR295W"	"new metabolic gene"	17859	"9920"
"YCL017C"	"new metabolic gene"	5084	"760"
"YCL047C"	"new metabolic gene"	3275	"360"
"YCR011C"	"new metabolic gene"	3277	"1280"
"YCR014C"	"new metabolic gene"	4272	"1969"
"YCR068W"	"new metabolic gene"	7546	"2652"
"YCR107W"	"new metabolic gene"	4014	"2674"
"YEL002C"	"new metabolic gene"	1186	"606"
"YEL004W"	"new metabolic gene"	1184	"923"
"YEL011W"	"new metabolic gene"	3682	"966"
"YEL031W"	"new metabolic gene"	9179	"1322"
"YEL064C"	"new metabolic gene"	4986	"1954"
"YEL066W"	"new metabolic gene"	2296	"298"
"YEL070W"	"new metabolic gene"	256	"163"
"YER001W"	"new metabolic gene"	8746	"6174"
"YER010C"	"new metabolic gene"	975	"714"
"YER042W"	"new metabolic gene"	846	"79"
"YER087W"	"new metabolic gene"	3927	"2352"
"YER141W"	"new metabolic gene"	2520	"366"
"YER163C"	"new metabolic gene"	4336	"201"
"YER166W"	"new metabolic gene"	16020	"2262"
"YHL012W"	"new metabolic gene"	12223	"7064"
"YHL018W"	"new metabolic gene"	311	"95"
"YHR001W"	"new metabolic gene"	4108	"1020"
"YHR008C"	"new metabolic gene"	1069	"119"
"YHR043C"	"new metabolic gene"	3024	"534"
"YHR044C"	"new metabolic gene"	2188	"293"
"YHR109W"	"new metabolic gene"	5270	"3050"
"YHR116W"	"new metabolic gene"	959	"302"
"YHR119W"	"new metabolic gene"	8518	"3305"
"YHR143W-A"	"new metabolic gene"	792	"12"
"YHR179W"	"new metabolic gene"	4351	"2618"
"YHR189W"	"new metabolic gene"	1734	"168"
"YHR201C"	"new metabolic gene"	4446	"1165"
"YIL014W"	"new metabolic gene"	7281	"1946"
"YIL021W"	"new metabolic gene"	458	"38"
"YIL023C"	"new metabolic gene"	5429	"2020"
"YIL043C"	"new metabolic gene"	3986	"2567"
"YIL048W"	"new metabolic gene"	11138	"334"
"YIL049W"	"new metabolic gene"	8798	"3583"
"YIR008C"	"new metabolic gene"	2627	"1225"
"YIR036C"	"new metabolic gene"	3199	"1067"
"YIR038C"	"new metabolic gene"	3811	"419"
"YKL045W"	"new metabolic gene"	8373	"845"
"YKL069W"	"new metabolic gene"	1749	"810"
"YKL087C"	"new metabolic gene"	1987	"1139"
"YKL103C"	"new metabolic gene"	5547	"2398"
"YKL144C"	"new metabolic gene"	1987	"56"
"YKL150W"	"new metabolic gene"	3026	"913"
"YKL215C"	"new metabolic gene"	16927	"2197"
"YKL218C"	"new metabolic gene"	2677	"1624"
"YKL220C"	"new metabolic gene"	7689	"2149"
"YKR002W"	"new metabolic gene"	2568	"449"
"YKR003W"	"new metabolic gene"	2295	"1207"
"YKR025W"	"new metabolic gene"	2581	"426"
"YKR076W"	"new metabolic gene"	2651	"457"
"YKR093W"	"new metabolic gene"	12374	"3007"
"YFL061W"	"new metabolic gene"	0	"NA"
"YFL060C"	"new metabolic gene"	0	"NA"
"YFL059W"	"new metabolic gene"	1	"1"
"YFL058W"	"new metabolic gene"	2	"2"
"YFL054C"	"new metabolic gene"	12808	"4415"
"YFL036W"	"new metabolic gene"	14291	"2327"
"YFR044C"	"new metabolic gene"	5362	"480"
"YFR055W"	"new metabolic gene"	1659	"338"
"YDL021W"	"new metabolic gene"	2405	"207"
"YDL024C"	"new metabolic gene"	3725	"1670"
"YDL102W"	"new metabolic gene"	9958	"1459"
"YDL120W"	"new metabolic gene"	767	"77"
"YDL140C"	"new metabolic gene"	5412	"326"
"YDL150W"	"new metabolic gene"	8394	"1804"
"YDL164C"	"new metabolic gene"	8014	"682"
"YDL166C"	"new metabolic gene"	3809	"635"
"YDL193W"	"new metabolic gene"	6298	"1703"
"YDL219W"	"new metabolic gene"	3845	"75"
"YDL232W"	"new metabolic gene"	7	"2"
"YDL236W"	"new metabolic gene"	2658	"859"
