UniProtKB_ac	locus	uniprot_seq_length	coordinate_id	provider	from	to	coverage	template	qmean	Seq_similarity	Seq_Identity	Resolution	Ligands	Oligo_State	GEMQE	Built_with	Method	Note
P32861	YKL035W	499	5b3d50ee732c1e980d169593	SWISSMODEL	22	499	0.957915832	2i5k.1.A	-0.84517596	0.6	100	3.1	"
"	homo-octamer	0.96	PROMOD3 1.1.0	X-RAY	
P06700	YDL042C	562	5b3ecd69a03a1b05b090fdaf	SWISSMODEL	99	555	0.81316726	4iao.1.A	-1.618110914	0.61	99.79	2.9	"APR;ZN
"	monomer	0.73	PROMOD3 1.1.0	X-RAY	
P06700	YDL042C	562	5b3ecd69a03a1b05b090fdab	SWISSMODEL	247	529	0.503558719	6flg.1.A	-4.329105692	0.37	32.53	2.5	"DMS;DQK;EDO;EPE;GZB;ZN
"	monomer	0.26	PROMOD3 1.1.0	X-RAY	
P40363	YJL068C	299	5b3b5313d60c59f03bedf573	SWISSMODEL	1	299	1	4flm.1.A	-0.638865825	0.62	99.67	2.41	"CSD;CU;SDP
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
Q01574	YAL054C	713	5b4232b99ffd12e1eaf20fe2	SWISSMODEL	68	710	0.901823282	5vpv.2.A	-2.119929361	0.46	56.26	2.6	"ALY;GOL;PO4
"	monomer	0.73	PROMOD3 1.1.0	X-RAY	
Q01574	YAL054C	713	5b4232b99ffd12e1eaf20fde	SWISSMODEL	74	709	0.89200561	5jrh.1.A	-2.207446788	0.44	47.9	1.64	"BU3;CMP;COA;MG
"	monomer	0.71	PROMOD3 1.1.0	X-RAY	
Q01574	YAL054C	713	5b4232b99ffd12e1eaf20fda	SWISSMODEL	74	713	0.897615708	1ry2.1.A	-2.385737472	0.61	100	2.3	"
"	monomer	0.88	PROMOD3 1.1.0	X-RAY	
Q03557	YMR293C	464	5b3cd5009ffd120a42e6853c	SWISSMODEL	6	464	0.989224138	4n0h.1.A	0.175133881	0.6	100	1.95	"
"	monomer	0.97	PROMOD3 1.1.0	X-RAY	
P53078	YGL224C	280	5b3bb73cd60c5982110061c2	SWISSMODEL	1	280	1	3nuq.1.A	-0.167923565	0.61	100	1.7	"CL;EDO;NA;PEG
"	monomer	0.97	PROMOD3 1.1.0	X-RAY	
P27472	YLR258W	705	5b41f15d08cc8f2e30c70195	SWISSMODEL	2	639	0.904964539	4kqm.1.B	-0.727808943	0.61	99.72	2.77	"BGC;G6P;GLC;PEG;UDP
"	homo-tetramer	0.94	PROMOD3 1.1.0	X-RAY	
Q10740	YNL045W	671	5b4147acd60c5944bdb34737	SWISSMODEL	59	628	0.84947839	2yd0.1.A	-4.825484925	0.3	18.3	2.7	"BES;EDO;K;NAG;ZN
"	monomer	0.47	PROMOD3 1.1.0	X-RAY	
Q10740	YNL045W	671	5b4147acd60c5944bdb34733	SWISSMODEL	40	671	0.941877794	2xpz.1.A	-0.777323628	0.61	100	2.3	"15P;BU3;ZN
"	monomer	0.98	PROMOD3 1.1.0	X-RAY	
Q03835	YDR098C	250	5b3d47fdd60c59f5d751d732	SWISSMODEL	2	223	0.888	1j08.3.A	-3.827549358	0.3	17.84	2.3	"
"	monomer	0.46	PROMOD3 1.1.0	X-RAY	
Q03835	YDR098C	250	5b3d47fdd60c59f5d751d72e	SWISSMODEL	2	113	0.448	3d6i.1.A	0.225899228	0.6	100	1.5	"CME;SO4
"	monomer	0.42	PROMOD3 1.1.0	X-RAY	
Q03835	YDR098C	250	5b3d47fdd60c59f5d751d71e	SWISSMODEL	33	224	0.768	5n9u.1.A	-4.903023832	0.25	13.07	NA	"
"	monomer	0.34	PROMOD3 1.1.0	SOLUTION	
Q03835	YDR098C	250	5b3d47fdd60c59f5d751d722	SWISSMODEL	4	222	0.876	3wt1.1.A	-3.548620415	0.28	16.22	1.85	"
"	monomer	0.42	PROMOD3 1.1.0	X-RAY	
Q03835	YDR098C	250	5b3d47fdd60c59f5d751d726	SWISSMODEL	147	249	0.412	3zyw.2.A	-0.652701097	0.47	56.44	1.84	"
"	monomer	0.33	PROMOD3 1.1.0	X-RAY	
Q03835	YDR098C	250	5b3d47fdd60c59f5d751d72a	SWISSMODEL	7	208	0.808	4tw5.1.A	-3.631100311	0.27	11.54	2.37	"
"	monomer	0.43	PROMOD3 1.1.0	X-RAY	
P04397	YBR019C	699	5b41e43e8fd6f9e6c910141c	SWISSMODEL	11	699	0.985693848	1z45.1.A	-0.407022296	0.61	99.86	1.85	"GAL;NA;NAD;UPG
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
P41921	YPL091W	483	5b3d1dae732c1e6f2e6f37ae	SWISSMODEL	22	483	0.956521739	2hqm.1.A	0.066560329	0.61	100	2.4	"FAD;GOL;GSH;NAG;PO4
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
Q05871	YLR284C	280	5b3bbdf3d60c59eae134cf5d	SWISSMODEL	19	205	0.667857143	3iav.1.A	-4.123241859	0.26	14.29	1.75	"
"	monomer	0.3	PROMOD3 1.1.0	X-RAY	
Q05871	YLR284C	280	5b3bbdf3d60c59eae134cf59	SWISSMODEL	4	270	0.953571429	4zdc.1.A	0.152016629	0.61	99.64	2.13	"CME;CO8;GOL;SO4
"	homo-hexamer	0.98	PROMOD3 1.1.0	X-RAY	
Q05871	YLR284C	280	5b3bbdf3d60c59eae134cf55	SWISSMODEL	10	273	0.942857143	4q1g.1.C	-4.462082137	0.28	17.62	2.1	"EDO;GOL
"	homo-trimer	0.5	PROMOD3 1.1.0	X-RAY	
Q05871	YLR284C	280	5b3bbdf3d60c59eae134cf51	SWISSMODEL	10	273	0.942857143	4q1g.1.A	-4.462082137	0.28	17.62	2.1	"EDO;GOL
"	homo-trimer	0.54	PROMOD3 1.1.0	X-RAY	
P40553	YIL010W	215	5b3eae949ffd12cecc8f0c40	SWISSMODEL	59	214	0.725581395	2a4v.1.A	-0.02435688	0.59	98.11	1.8	"
"	monomer	0.72	PROMOD3 1.1.0	X-RAY	
Q07540	YDL120W	174	5b412ae208cc8fc6376deeee	SWISSMODEL	61	172	0.643678161	2fql.1.B	-3.06074469	0.6	99.19	3.01	"
"	homo-trimer	0.66	PROMOD3 1.1.0	X-RAY	
P23776	YLR300W	448	5b3ba5498fd6f9a469f916ec	SWISSMODEL	41	448	0.910714286	1h4p.1.A	-0.519108001	0.62	98.77	1.75	"BMA;GOL;MAN;NAG;NDG
"	monomer	0.97	PROMOD3 1.1.0	X-RAY	
P39683	YOR209C	429	5b3b5812a03a1bd6e163a1d8	SWISSMODEL	1	415	0.967365967	1vlp.1.A	0.891559	0.61	100	1.75	"CL;EDO;MES;MSE;PO4
"	monomer	0.98	PROMOD3 1.1.0	X-RAY	
P00045	YEL039C	113	5b46784c8fd6f93cd02e328e	SWISSMODEL	2	113	0.991150442	3cxh.1.W	-1.158437132	0.62	100	2.5	"6PH;7PH;8PE;9PE;CN6;FES;HEM;M3L;SMA;SUC;UMQ
"	monomer	0.99	PROMOD3 1.1.0	X-RAY	
P43619	YFR047C	295	5b3b6f208fd6f9877ccc3356	SWISSMODEL	2	294	0.993220339	3c2v.1.A	-1.336835272	0.61	100	2.29	"PHT;PRP
"	homo-hexamer	0.95	PROMOD3 1.1.0	X-RAY	
P10964	YOR341W	1664	5b248a9c7aaa0d7641e1365d	SWISSMODEL	1	1664	1	4c2m.1.A	-1.472415817	0.6	100	2.8	"SO4;ZN
"	monomer	0.94	PROMOD3 1.1.0	X-RAY	
P28321	YKL094W	313	5b3b026e3b85d1bbb30e3013	SWISSMODEL	2	309	0.984025559	4zxf.1.A	-0.44741333	0.62	99.36	2.5	"4S7;NO3;SO4
"	monomer	0.99	PROMOD3 1.1.0	X-RAY	
P06169	YLR044C	563	5b3ed4b58fd6f96c4e4aa643	SWISSMODEL	2	559	0.991119005	2w93.1.B	-0.239614482	0.6	99.29	1.6	"MG;PY0;TPP
"	homo-dimer	0.99	PROMOD3 1.1.0	X-RAY	
Q06321	YLR189C	1198	5b4f08a7a03a1b6cf834f49b	SWISSMODEL	568	678	0.092654424	5yqr.1.A	-2.371546743	0.34	26.67	2.4	"
"	monomer	0.03	PROMOD3 1.1.0	X-RAY	
Q06321	YLR189C	1198	5b4f08a7a03a1b6cf834f497	SWISSMODEL	205	338	0.111853088	3tfm.1.A	-2.255874602	0.29	16.94	2.53	"
"	monomer	0.03	PROMOD3 1.1.0	X-RAY	
Q06321	YLR189C	1198	5b4f08a7a03a1b6cf834f493	SWISSMODEL	737	1171	0.363105175	5gl5.1.A	-0.33327489	0.61	100	1.9	"
"	monomer	0.3	PROMOD3 1.1.0	X-RAY	
P04385	YBR020W	528	5b3dd18d732c1e8c6cb51e35	SWISSMODEL	9	528	0.984848485	2aj4.1.A	0.036988371	0.61	100	2.4	"ANP;CL;GLA;MG
"	monomer	0.98	PROMOD3 1.1.0	X-RAY	
P04385	YBR020W	528	5b3dd18d732c1e8c6cb51e31	SWISSMODEL	25	527	0.952651515	3v5r.1.A	-0.578881477	0.53	75.25	2.1	"
"	homo-dimer	0.79	PROMOD3 1.1.0	X-RAY	
P07347	YHR013C	238	5b3d7fe9a03a1bdb4b6bbcdd	SWISSMODEL	2	235	0.983193277	4hny.1.B	-1.48618584	0.6	100	2.25	"GOL;PG4
"	monomer	0.94	PROMOD3 1.1.0	X-RAY	
P07347	YHR013C	238	5b3d7fe9a03a1bdb4b6bbcd9	SWISSMODEL	3	195	0.81092437	1s7n.2.A	-4.731401106	0.28	13.5	2.1	"
"	monomer	0.4	PROMOD3 1.1.0	X-RAY	
P18238	YBR085W	307	5b3b27af732c1e0c78536be3	SWISSMODEL	10	306	0.96742671	4c9j.1.A	-3.015935238	0.6	100	3.4	"CDL;CXT
"	monomer	0.95	PROMOD3 1.1.0	X-RAY	
P43577	YFL017C	159	5b4234728fd6f946150487c3	SWISSMODEL	2	159	0.993710692	1i12.2.B	-1.147095145	0.61	99.37	1.3	"ACO;IMD
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
P47039	YJL060W	444	5b3b96ca08cc8f4ec4f9036c	SWISSMODEL	18	444	0.961711712	3b46.1.A	-0.711043865	0.61	100	2	"
"	homo-dimer	0.97	PROMOD3 1.1.0	X-RAY	
P43567	YFL030W	385	5b3ab6d51a200baaa317382e	SWISSMODEL	3	383	0.98961039	2bkw.1.A	-0.916109645	0.6	100	2.57	"GLV;MSE;PLP
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
Q04299	YMR087W	284	5b3ba7fb8fd6f92c5ae9a234	SWISSMODEL	16	279	0.929577465	1txz.2.A	0.108729216	0.62	100	2.05	"APR;EDO;NA;SO4
"	monomer	0.9	PROMOD3 1.1.0	X-RAY	
Q04299	YMR087W	284	5b3ba7fb8fd6f92c5ae9a230	SWISSMODEL	46	254	0.735915493	5cms.1.A	-4.35301132	0.28	16.37	2.98	"APR;SO4
"	monomer	0.37	PROMOD3 1.1.0	X-RAY	
P13045	YDR009W	520	5b3d95fca03a1bbd90da5f58	SWISSMODEL	19	520	0.965384615	3v5r.1.A	-0.078449322	0.61	100	2.1	"
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
P18239	YBL030C	318	5b3ae3799ffd12578e1ae730	SWISSMODEL	24	309	0.899371069	4c9g.1.A	-2.007919419	0.6	100	2.49	"BNG;CDL;CXT
"	monomer	0.74	PROMOD3 1.1.0	X-RAY	
P25335	YIR029W	343	5b3a7abb732c1e0ceea8d550	SWISSMODEL	1	343	1	1o59.1.A	-1.438598344	0.62	100	2.4	"
"	monomer	0.98	PROMOD3 1.1.0	X-RAY	
P47096	YJR025C	177	5b40fc0c3b85d131b7f049e5	SWISSMODEL	1	175	0.988700565	1zvf.1.A	-0.00663126	0.63	99.43	2.41	"
"	homo-dimer	0.99	PROMOD3 1.1.0	X-RAY	
Q08220	YOL049W	491	5b3d37ba1a200bb11b817c58	SWISSMODEL	6	491	0.989816701	1m0w.1.A	0.014090902	0.6	100	1.8	"3GC;ANP;MG;SO4
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
Q12184	YPL252C	172	5b4151423b85d1e8bd353762	SWISSMODEL	58	172	0.668604651	2mje.1.A	-2.145080999	0.62	100	NA	"
"	monomer	0.67	PROMOD3 1.1.0	SOLUTION	
P23542	YLR027C	418	5b3b2bc41a200b62cb82e1df	SWISSMODEL	2	412	0.983253589	1yaa.1.A	0.099133936	0.61	99.76	2.05	"MAE;PLP
"	homo-dimer	0.99	PROMOD3 1.1.0	X-RAY	
P15436	YDL102W	1097	5b479e53d60c59497a715626	SWISSMODEL	131	962	0.758432088	4k8z.1.A	-4.695687666	0.36	31	2.29	"2DA;EDO;MG;NCO
"	monomer	0.43	PROMOD3 1.1.0	X-RAY	
P15436	YDL102W	1097	5b479e53d60c59497a71562e	SWISSMODEL	113	971	0.783044667	5n2e.1.A	-4.584903955	0.31	21.56	2.74	"DTT;EPE;GOL;MES
"	monomer	0.46	PROMOD3 1.1.0	X-RAY	
P15436	YDL102W	1097	5b479e53d60c59497a71562a	SWISSMODEL	95	985	0.812215132	3iay.1.C	-0.124647902	0.61	99.78	2	"ACT;CA;DCP;DOC
"	monomer	0.78	PROMOD3 1.1.0	X-RAY	
P15436	YDL102W	1097	5b479e53d60c59497a715622	SWISSMODEL	110	1094	0.897903373	5exr.1.C	-4.145041227	0.32	24.17	3.6	"SF4;ZN
"	monomer	0.55	PROMOD3 1.1.0	X-RAY	
P53178	YGL047W	202	5b3f6aa8a03a1b0a29dacaf1	SWISSMODEL	2	202	0.995049505	2ks6.1.A	-1.012010068	0.61	100	NA	"
"	monomer	0.98	PROMOD3 1.1.0	SOLUTION	
P06633	YOR202W	220	5b3e70cca03a1bf4469b53e7	SWISSMODEL	3	219	0.986363636	6ezm.1.A	-3.4720573	0.6	100	3.2	"5LD;MN
"	homo-24-mer	0.97	PROMOD3 1.1.0	ELECTRON	
P32178	YPR060C	256	5b3d280bd60c5963aefc5b25	SWISSMODEL	1	256	1	1csm.1.A	-0.489898613	0.6	99.61	2.2	"
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
P38077	YBR039W	311	5b3b12028fd6f99868165de2	SWISSMODEL	34	311	0.893890675	2wpd.1.G	-1.588024736	0.59	100	3.43	"ADP;ATP;MG
"	monomer	0.82	PROMOD3 1.1.0	X-RAY	
