UniProtKB_ac	iso_id	uniprot_seq_length	coordinate_id	provider	from	to	coverage	template	qmean	qmean_norm	url
P23638		258	5a9afd3c75daaa607e490882	PDB	11	245	0.910852713178	3oeu			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=11&to=245&template=3oeu&provider=pdb
P23638		258	5a9afd8c75daaa65e3fb171a	PDB	1	258	1.0	5bou			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5bou&provider=pdb
P23638		258	5a9afda475daaa65e3fb1ae5	PDB	1	258	1.0	4inu			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4inu&provider=pdb
P23638		258	5a9afdbe75daaa65e3fb1eee	PDB	1	258	1.0	4qlu			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qlu&provider=pdb
P23638		258	5a9afdd475daaa6cacac190c	PDB	1	258	1.0	4jsu			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4jsu&provider=pdb
P23638		258	5a9afded75daaa6cacac1cfc	PDB	1	258	1.0	4qwu			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qwu&provider=pdb
P23638		258	5a9afdfb75daaa6cacac1f60	PDB	1	258	1.0	5d0v			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5d0v&provider=pdb
P23638		258	5a9afe3475daaa71108240fe	PDB	1	258	1.0	4y6v			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y6v&provider=pdb
P23638		258	5a9afe4f75daaa7110824500	PDB	1	258	1.0	5l5v			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l5v&provider=pdb
P23638		258	5a9afeb175daaa769dc8ad6d	PDB	11	245	0.910852713178	3oev			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=11&to=245&template=3oev&provider=pdb
P23638		258	5a9afeff75daaa7c728718b9	PDB	1	258	1.0	4qlv			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qlv&provider=pdb
P23638		258	5a9aff7c75daaa02bd50f2eb	PDB	1	258	1.0	5d0w			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5d0w&provider=pdb
P23638		258	5a9aff8075daaa02bd50f36f	PDB	1	258	1.0	4qvv			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qvv&provider=pdb
P23638		258	5a9affe375daaa088317e483	PDB	1	258	1.0	4y7w			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y7w&provider=pdb
P23638		258	5a9afff375daaa088317e6b6	PDB	1	258	1.0	5l5w			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l5w&provider=pdb
P23638		258	5a9b006f75daaa0dc7883f26	PDB	1	258	1.0	4nnw			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4nnw&provider=pdb
P23638		258	5a9b007975daaa0dc788407a	PDB	2	245	0.945736434109	3gpw			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=3gpw&provider=pdb
P23638		258	5a9b00e875daaa1309d8367d	PDB	1	258	1.0	4qvw			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qvw&provider=pdb
P23638		258	5a9b015f75daaa1ea2f8fac4	PDB	1	258	1.0	3nzw			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=3nzw&provider=pdb
P23638		258	5a9b017575daaa1ea2f8fde1	PDB	1	258	1.0	5d0x			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5d0x&provider=pdb
P23638		258	5a9b018575daaa1ea2f90003	PDB	1	258	1.0	5l5x			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l5x&provider=pdb
P23638		258	5a9b01a975daaa1ea2f9054d	PDB	1	258	1.0	4y7x			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y7x&provider=pdb
P23638		258	5a9b01ad75daaa1ea2f905dd	PDB	1	258	1.0	4qzw			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qzw&provider=pdb
P23638		258	5a9b028975daaa33e7146ba7	PDB	1	258	1.0	4qzx			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qzx&provider=pdb
P23638		258	5a9b029275daaa33e7146d02	PDB	1	258	1.0	3nzx			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=3nzx&provider=pdb
P23638		258	5a9b029775daaa33e7146da4	PDB	1	258	1.0	4qwx			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qwx&provider=pdb
P23638		258	5a9b02d475daaa33e7147638	PDB	1	258	1.0	4qux			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qux&provider=pdb
P23638		258	5a9b02eb75daaa38f5632845	PDB	1	258	1.0	4y7y			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y7y&provider=pdb
P23638		258	5a9b032075daaa38f5632f65	PDB	1	258	1.0	5l5y			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l5y&provider=pdb
P23638		258	5a9b032d75daaa38f563311d	PDB	1	258	1.0	4y9y			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y9y&provider=pdb
P23638		258	5a9b034075daaa38f56333a9	PDB	1	258	1.0	4qby			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qby&provider=pdb
P23638		258	5a9b03ad75daaa3e8f68b571	PDB	1	258	1.0	2zcy			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=2zcy&provider=pdb
P23638		258	5a9b03c475daaa43a87b79fe	PDB	1	258	1.0	4qvy			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qvy&provider=pdb
P23638		258	5a9b041375daaa43a87b84b9	PDB	1	258	1.0	4quy			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4quy&provider=pdb
P23638		258	5a9b043b75daaa48ff6eb9d9	PDB	1	258	1.0	5l5z			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l5z&provider=pdb
P23638		258	5a9b044d75daaa48ff6ebc88	PDB	1	258	1.0	5d0z			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5d0z&provider=pdb
P23638		258	5a9b04a475daaa4f11c90878	PDB	1	258	1.0	4x6z			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4x6z&provider=pdb
P23638		258	5a9b04b175daaa4f11c90a29	PDB	1	258	1.0	4y9z			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y9z&provider=pdb
P23638		258	5a9b04dd75daaa4f11c910af	PDB	1	258	1.0	4y6z			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y6z&provider=pdb
P23638		258	5a9b058275daaa5aad4e96ba	PDB	1	258	1.0	4cr3			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4cr3&provider=pdb
P23638		258	5a9b05f175daaa609a316e33	PDB	1	258	1.0	4qzz			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qzz&provider=pdb
P23638		258	5a9b061d75daaa65412e2383	PDB	1	258	1.0	4qz3			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qz3&provider=pdb
P23638		258	5a9b061e75daaa65412e23a0	PDB	1	258	1.0	4qv3			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qv3&provider=pdb
P23638		258	5a9b062e75daaa65412e25aa	PDB	1	258	1.0	4qw3			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qw3&provider=pdb
P23638		258	5a9b065275daaa65412e2b0d	PDB	2	245	0.945736434109	3dy3			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=3dy3&provider=pdb
P23638		258	5a9b068075daaa6a748b59ca	PDB	1	258	1.0	4y74			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y74&provider=pdb
P23638		258	5a9b06ae75daaa6a748b606b	PDB	1	258	1.0	4y84			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y84&provider=pdb
P23638		258	5a9b06b075daaa6a748b60ae	PDB	1	258	1.0	5l54			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l54&provider=pdb
P23638		258	5a9b06bc75daaa6a748b6287	PDB	1	258	1.0	5l64			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l64&provider=pdb
P23638		258	5a9b06bf75daaa6a748b62fa	PDB	1	258	1.0	4ya4			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4ya4&provider=pdb
P23638		258	5a9b06df75daaa6edcf0d6f5	PDB	1	258	1.0	3un4			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=3un4&provider=pdb
P23638		258	5a9b070a75daaa6edcf0dd7a	PDB	2	245	0.945736434109	3mg4			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=3mg4&provider=pdb
P23638		258	5a9b074d75daaa73c58d5ef2	PDB	1	258	1.0	4qv4			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qv4&provider=pdb
P23638		258	5a9b075a75daaa73c58d60e3	PDB	1	258	1.0	4qw4			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qw4&provider=pdb
P23638		258	5a9b076875daaa73c58d62dd	PDB	1	258	1.0	4cr4			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4cr4&provider=pdb
P23638		258	5a9b077f75daaa73c58d663b	PDB	2	245	0.945736434109	3dy4			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=3dy4&provider=pdb
P23638		258	5a9b079375daaa73c58d68ed	PDB	1	258	1.0	5cz4			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5cz4&provider=pdb
P23638		258	5a9b07a475daaa78f380f43e	PDB	2	245	0.945736434109	1g65			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=1g65&provider=pdb
P23638		258	5a9b07b475daaa78f380f603	PDB	1	258	1.0	4y75			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y75&provider=pdb
P23638		258	5a9b07ba75daaa78f380f69a	PDB	1	258	1.0	4qz4			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qz4&provider=pdb
P23638		258	5a9b07ea75daaa78f380fcf9	PDB	1	258	1.0	5l55			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l55&provider=pdb
P23638		258	5a9b07f975daaa78f380feea	PDB	1	258	1.0	5l65			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l65&provider=pdb
P23638		258	5a9b085f75daaa7f43badfa0	PDB	1	258	1.0	4ya5			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4ya5&provider=pdb
P23638		258	5a9b08b175daaa054ca0adef	PDB	1	258	1.0	4jt0			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4jt0&provider=pdb
P23638		258	5a9b093b75daaa0f820f90cf	PDB	1	258	1.0	5cz5			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5cz5&provider=pdb
P23638		258	5a9b094275daaa0f820f91a8	PDB	2	245	0.945736434109	2f16			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=2f16&provider=pdb
P23638		258	5a9b094d75daaa0f820f9346	PDB	1	258	1.0	4qv5			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qv5&provider=pdb
P23638		258	5a9b095b75daaa0f820f9543	PDB	1	258	1.0	4qw5			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qw5&provider=pdb
P23638		258	5a9b098275daaa0f820f9b0c	PDB	1	258	1.0	4qz5			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qz5&provider=pdb
P23638		258	5a9b09ce75daaa1521d9745c	PDB	1	258	1.0	5l66			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l66&provider=pdb
P23638		258	5a9b0a4375daaa1a47817ed9	PDB	1	245	0.949612403101	3mg6			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=245&template=3mg6&provider=pdb
P23638		258	5a9b0a8375daaa1fe19c6bbb	PDB	1	258	1.0	4qv6			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qv6&provider=pdb
P23638		258	5a9b0a9075daaa1fe19c6d99	PDB	1	258	1.0	4qw6			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qw6&provider=pdb
P23638		258	5a9b0ab175daaa1fe19c723d	PDB	1	258	1.0	4no6			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4no6&provider=pdb
P23638		258	5a9b0ad975daaa254161eafb	PDB	1	258	1.0	5cz6			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5cz6&provider=pdb
P23638		258	5a9b0ae275daaa254161ec45	PDB	2	245	0.945736434109	3e47			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=3e47&provider=pdb
P23638		258	5a9b0b0475daaa254161f0f2	PDB	1	258	1.0	5l67			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l67&provider=pdb
P23638		258	5a9b0b0875daaa254161f16b	PDB	1	258	1.0	4r17			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4r17&provider=pdb
P23638		258	5a9b0b2275daaa254161f507	PDB	1	258	1.0	4qz6			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qz6&provider=pdb
P23638		258	5a9b0b4675daaa2b135908ec	PDB	1	258	1.0	5fg7			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5fg7&provider=pdb
P23638		258	5a9b0b5275daaa2b13590a99	PDB	1	258	1.0	4y77			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y77&provider=pdb
P23638		258	5a9b0b7575daaa2b13590f4c	PDB	1	258	1.0	4ya7			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4ya7&provider=pdb
P23638		258	5a9b0b7e75daaa2b13591089	PDB	1	245	0.949612403101	3mg7			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=245&template=3mg7&provider=pdb
P23638		258	5a9b0bd575daaa3285be8b53	PDB	2	245	0.945736434109	4gk7			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=4gk7&provider=pdb
P23638		258	5a9b0c1575daaa36fdfa77d2	PDB	1	258	1.0	4qw7			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qw7&provider=pdb
P23638		258	5a9b0c1975daaa36fdfa783c	PDB	1	258	1.0	5cz7			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5cz7&provider=pdb
P23638		258	5a9b0c5e75daaa36fdfa8231	PDB	1	258	1.0	4qz7			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qz7&provider=pdb
P23638		258	5a9b0c5f75daaa36fdfa824a	PDB	1	258	1.0	4qv7			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qv7&provider=pdb
P23638		258	5a9b0c8575daaa3ccf7d0758	PDB	1	258	1.0	4r18			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4r18&provider=pdb
P23638		258	5a9b0ca975daaa3ccf7d0c0e	PDB	1	258	1.0	5l68			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l68&provider=pdb
P23638		258	5a9b0cc375daaa3ccf7d0f9a	PDB	1	258	1.0	4y78			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y78&provider=pdb
P23638		258	5a9b0cfc75daaa423c5bdee8	PDB	1	258	1.0	4qz0			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qz0&provider=pdb
P23638		258	5a9b0cfd75daaa423c5bdf00	PDB	1	258	1.0	4qv0			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qv0&provider=pdb
P23638		258	5a9b0d0975daaa423c5be0cd	PDB	1	258	1.0	4qw0			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qw0&provider=pdb
P23638		258	5a9b0d5d75daaa47c2729651	PDB	1	245	0.949612403101	3mg8			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=245&template=3mg8&provider=pdb
P23638		258	5a9b0dda75daaa4c7039fae3	PDB	1	258	1.0	4no8			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4no8&provider=pdb
P23638		258	5a9b0df575daaa4c7039febf	PDB	1	258	1.0	3un8			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=3un8&provider=pdb
P23638		258	5a9b0e1875daaa5228df3dce	PDB	1	258	1.0	4qv8			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qv8&provider=pdb
P23638		258	5a9b0e5e75daaa5228df47bb	PDB	1	258	1.0	5cz8			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5cz8&provider=pdb
P23638		258	5a9b0e6a75daaa5228df4922	PDB	2	245	0.945736434109	3d29			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=3d29&provider=pdb
P23638		258	5a9b0ebb75daaa573b9585d4	PDB	1	258	1.0	5l69			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l69&provider=pdb
P23638		258	5a9b0ebf75daaa573b958645	PDB	1	258	1.0	4ya9			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4ya9&provider=pdb
P23638		258	5a9b0ec875daaa573b958780	PDB	1	258	1.0	4y69			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y69&provider=pdb
P23638		258	5a9b0f2075daaa5de40c1011	PDB	1	258	1.0	4no9			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4no9&provider=pdb
P23638		258	5a9b0f3675daaa5de40c1319	PDB	1	258	1.0	5fg9			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5fg9&provider=pdb
P23638		258	5a9b0f5875daaa62ade413e6	PDB	1	258	1.0	4qv9			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qv9&provider=pdb
P23638		258	5a9b0fa975daaa62ade41ea8	PDB	1	258	1.0	5mp9			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5mp9&provider=pdb
P23638		258	5a9b0ff875daaa67f17625b2	PDB	1	258	1.0	5l5a			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l5a&provider=pdb
P23638		258	5a9b100675daaa67f176278e	PDB	1	258	1.0	5l6a			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l6a&provider=pdb
P23638		258	5a9b100b75daaa67f1762832	PDB	1	258	1.0	5cz9			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5cz9&provider=pdb
P23638		258	5a9b101475daaa67f176295f	PDB	1	258	1.0	4y6a			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y6a&provider=pdb
P23638		258	5a9b108175daaa6f127f5ae5	PDB	1	258	1.0	5fga			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5fga&provider=pdb
P23638		258	5a9b10bc75daaa75335a7182	PDB	1	258	1.0	5mpa			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5mpa&provider=pdb
P23638		258	5a9b10fb75daaa7a26c72663	PDB	1	258	1.0	5cza			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5cza&provider=pdb
P23638		258	5a9b116975daaa022938dfbc	PDB	1	258	1.0	5l61			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l61&provider=pdb
P23638		258	5a9b116d75daaa022938e032	PDB	1	258	1.0	4ya1			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4ya1&provider=pdb
P23638		258	5a9b119475daaa022938e586	PDB	1	258	1.0	4y81			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y81&provider=pdb
P23638		258	5a9b11f475daaa07d9594125	PDB	1	258	1.0	5l5b			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l5b&provider=pdb
P23638		258	5a9b120075daaa07d9594300	PDB	1	258	1.0	5l6b			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l6b&provider=pdb
P23638		258	5a9b120775daaa07d95943d3	PDB	1	258	1.0	5m2b			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5m2b&provider=pdb
P23638		258	5a9b121275daaa07d9594544	PDB	1	258	1.0	5a5b			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5a5b&provider=pdb
P23638		258	5a9b12b275daaa14b7686096	PDB	1	258	1.0	5mpb			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5mpb&provider=pdb
P23638		258	5a9b13a975daaa1e9b1a2903	PDB	1	258	1.0	5l6c			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l6c&provider=pdb
P23638		258	5a9b145875daaa2a7f9af312	PDB	1	258	1.0	5mpc			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5mpc&provider=pdb
P23638		258	5a9b147d75daaa2a7f9af871	PDB	2	245	0.945736434109	4hrc			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=4hrc&provider=pdb
P23638		258	5a9b147e75daaa2a7f9af889	PDB	1	258	1.0	4ltc			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4ltc&provider=pdb
P23638		258	5a9b14db75daaa2fcea1f0e0	PDB	1	258	1.0	5l5d			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l5d&provider=pdb
P23638		258	5a9b150475daaa2fcea1f666	PDB	2	245	0.945736434109	4fzc			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=4fzc&provider=pdb
P23638		258	5a9b153475daaa3556d8b154	PDB	2	245	0.945736434109	3tdd			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=3tdd&provider=pdb
P23638		258	5a9b156775daaa3556d8b7f6	PDB	1	258	1.0	5fgd			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5fgd&provider=pdb
P23638		258	5a9b15cc75daaa3ac5713711	PDB	2	245	0.945736434109	4hrd			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=4hrd&provider=pdb
P23638		258	5a9b16ed75daaa4a6780b10e	PDB	1	258	1.0	5l5e			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l5e&provider=pdb
P23638		258	5a9b177775daaa4fb82f6c2e	PDB	1	258	1.0	5fge			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5fge&provider=pdb
P23638		258	5a9b180e75daaa5ae8658add	PDB	1	258	1.0	5l5f			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l5f&provider=pdb
P23638		258	5a9b185275daaa5ae86594aa	PDB	2	245	0.945736434109	3hye			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=3hye&provider=pdb
P23638		258	5a9b18e675daaa657871f01b	PDB	1	258	1.0	5nif			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5nif&provider=pdb
P23638		258	5a9b191f75daaa657871f83f	PDB	1	258	1.0	5cgf			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5cgf&provider=pdb
P23638		258	5a9b192275daaa657871f898	PDB	1	258	1.0	5fgf			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5fgf&provider=pdb
P23638		258	5a9b195375daaa6ad8180106	PDB	1	258	1.0	4qwf			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qwf&provider=pdb
P23638		258	5a9b19ba75daaa71aac41676	PDB	1	258	1.0	4y8g			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y8g&provider=pdb
P23638		258	5a9b1a6075daaa769d37dd88	PDB	1	258	1.0	5cgg			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5cgg&provider=pdb
P23638		258	5a9b1a6375daaa769d37dde5	PDB	1	258	1.0	5fgg			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5fgg&provider=pdb
P23638		258	5a9b1aa475daaa7bcbf73a6d	PDB	1	258	1.0	4qv1			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qv1&provider=pdb
P23638		258	5a9b1ab175daaa7bcbf73c4d	PDB	1	258	1.0	4qw1			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qw1&provider=pdb
P23638		258	5a9b1ad575daaa7bcbf74116	PDB	1	258	1.0	4no1			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4no1&provider=pdb
P23638		258	5a9b1b8975daaa0a9ff3c3f7	PDB	2	245	0.945736434109	4fzg			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=2&to=245&template=4fzg&provider=pdb
P23638		258	5a9b1b9a75daaa0a9ff3c675	PDB	1	258	1.0	4qwg			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4qwg&provider=pdb
P23638		258	5a9b1bc875daaa105e266982	PDB	1	258	1.0	4y8h			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=4y8h&provider=pdb
P23638		258	5a9b1bca75daaa105e2669cd	PDB	1	258	1.0	5l5h			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5l5h&provider=pdb
P23638		258	5a9b1c4d75daaa159d1c236f	PDB	1	258	1.0	5fgh			https://swissmodel.expasy.org/repository/uniprot/P23638.pdb?from=1&to=258&template=5fgh&provider=pdb
